Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day_Name,Month,Year,Prev_Close,Pct_Change,Sign,Close_Trend
2020-03-27,8949.1,9038.9,8522.9,8660.25,801923401,31336.86,Friday,March,2020,8641.45,0.21755608144465652,+,+ 0.22%
2020-03-30,8385.95,8576.0,8244.0,8281.1,593953051,24724.44,Monday,March,2020,8660.25,-4.378049132530812,-,- 4.38%
2020-03-31,8529.35,8678.3,8358.0,8597.75,713390935,27401.3,Tuesday,March,2020,8281.1,3.823767373899598,+,+ 3.82%
2020-04-01,8584.1,8588.1,8198.35,8253.8,507509685,21307.3,Wednesday,April,2020,8597.75,-4.000465237998322,-,- 4.00%
2020-04-03,8356.55,8356.55,8055.8,8083.8,697752438,26561.18,Friday,April,2020,8253.8,-2.059657369938684,-,- 2.06%
2020-04-07,8446.3,8819.4,8360.95,8792.2,815245226,35206.69,Tuesday,April,2020,8083.8,8.763205423192069,+,+ 8.76%
2020-04-08,8688.9,9131.7,8653.9,8748.75,897562690,37641.68,Wednesday,April,2020,8792.2,-0.4941880302995919,-,- 0.49%
2020-04-09,8973.05,9128.35,8904.55,9111.9,743036134,32907.82,Thursday,April,2020,8748.75,4.1508786969567035,+,+ 4.15%
2020-04-13,9103.95,9112.05,8912.4,8993.85,644468815,26749.06,Monday,April,2020,9111.9,-1.295558555295814,-,- 1.30%
2020-04-15,9196.4,9261.2,8874.1,8925.3,880159358,41878.64,Wednesday,April,2020,8993.85,-0.7621874947881173,-,- 0.76%
2020-04-16,8851.25,9053.75,8821.9,8992.8,720116479,31318.29,Thursday,April,2020,8925.3,0.7562770999294142,+,+ 0.76%
2020-04-17,9323.45,9324.0,9091.35,9266.75,684910520,33334.73,Friday,April,2020,8992.8,3.046325949648616,+,+ 3.05%
2020-04-20,9390.2,9390.85,9230.8,9261.85,726364699,28620.91,Monday,April,2020,9266.75,-0.05287722232713342,-,- 0.05%
2020-04-21,9016.95,9044.4,8909.4,8981.45,655122903,28273.89,Tuesday,April,2020,9261.85,-3.0274729130789164,-,- 3.03%
2020-04-22,9026.75,9209.75,8946.25,9187.3,734383388,33981.82,Wednesday,April,2020,8981.45,2.291946177955659,+,+ 2.29%
2020-04-23,9232.35,9343.6,9170.15,9313.9,666650462,30270.55,Thursday,April,2020,9187.3,1.3779891807168632,+,+ 1.38%
2020-04-24,9163.9,9296.9,9141.3,9154.4,659439249,32859.05,Friday,April,2020,9313.9,-1.7124942290554976,-,- 1.71%
2020-04-27,9259.7,9377.1,9250.35,9282.3,512793298,26696.54,Monday,April,2020,9154.4,1.3971423577733073,+,+ 1.40%
2020-04-28,9389.8,9404.4,9260.0,9380.9,614548983,30091.41,Tuesday,April,2020,9282.3,1.0622367301207716,+,+ 1.06%
2020-04-29,9408.6,9599.85,9392.35,9553.35,653026950,31673.23,Wednesday,April,2020,9380.9,1.8383097570595652,+,+ 1.84%
2020-04-30,9753.5,9889.05,9731.5,9859.9,931173802,39332.46,Thursday,April,2020,9553.35,3.2088220362490567,+,+ 3.21%
2020-05-04,9533.5,9533.5,9266.95,9293.5,687487134,29785.95,Monday,May,2020,9859.9,-5.744480167141651,-,- 5.74%
2020-05-05,9429.4,9450.9,9190.75,9205.6,725196178,29700.2,Tuesday,May,2020,9293.5,-0.9458223489535659,-,- 0.95%
2020-05-06,9226.8,9346.9,9116.5,9270.9,722185448,30798.1,Wednesday,May,2020,9205.6,0.7093508299296001,+,+ 0.71%
2020-05-07,9234.05,9277.85,9175.9,9199.05,708740416,59705.53,Thursday,May,2020,9270.9,-0.7750056628806304,-,- 0.78%
2020-05-08,9376.95,9382.65,9238.2,9251.5,609053504,30743.45,Friday,May,2020,9199.05,0.5701675716514285,+,+ 0.57%
2020-05-11,9348.15,9439.9,9219.95,9239.2,704647074,31048.47,Monday,May,2020,9251.5,-0.1329514132843244,-,- 0.13%
2020-05-12,9168.85,9240.85,9043.95,9196.55,805458787,37706.27,Tuesday,May,2020,9239.2,-0.4616200536843174,-,- 0.46%
2020-05-13,9584.2,9584.5,9351.1,9383.55,846395245,36488.9,Wednesday,May,2020,9196.55,2.03337120985587,+,+ 2.03%
2020-05-14,9213.95,9281.1,9119.75,9142.75,602555564,29541.59,Thursday,May,2020,9383.55,-2.5661929653489275,-,- 2.57%
2020-05-15,9182.4,9182.4,9050.0,9136.85,575857112,25847.33,Friday,May,2020,9142.75,-0.06453200623444408,-,- 0.06%
2020-05-18,9158.3,9158.3,8806.75,8823.25,772983297,33347.46,Monday,May,2020,9136.85,-3.4322550988579255,-,- 3.43%
2020-05-19,8961.7,9030.35,8855.3,8879.1,762152894,32026.94,Tuesday,May,2020,8823.25,0.6329867112458603,+,+ 0.63%
2020-05-20,8889.15,9093.8,8875.35,9066.55,622308140,30721.99,Wednesday,May,2020,8879.1,2.111137390050781,+,+ 2.11%
2020-05-21,9079.45,9178.55,9056.1,9106.25,631542699,28303.51,Thursday,May,2020,9066.55,0.4378732814576739,+,+ 0.44%
2020-05-22,9067.9,9149.6,8968.55,9039.25,675759336,31625.47,Friday,May,2020,9106.25,-0.7357584076870282,-,- 0.74%
2020-05-26,9099.75,9161.65,8996.65,9029.05,654959960,30871.59,Tuesday,May,2020,9039.25,-0.11284122023398765,-,- 0.11%
2020-05-27,9082.2,9334.0,9004.25,9314.95,763492487,34603.88,Wednesday,May,2020,9029.05,3.166446082367486,+,+ 3.17%
2020-05-28,9364.95,9511.25,9336.5,9490.1,837911425,37761.91,Thursday,May,2020,9314.95,1.8803106833638357,+,+ 1.88%
2020-05-29,9422.2,9598.85,9376.9,9580.3,967005438,45006.25,Friday,May,2020,9490.1,0.9504641679223497,+,+ 0.95%
2020-06-01,9726.85,9931.6,9706.95,9826.15,794183122,38096.92,Monday,June,2020,9580.3,2.566203563562732,+,+ 2.57%
2020-06-02,9880.85,9995.6,9824.05,9979.1,770192848,36723.11,Tuesday,June,2020,9826.15,1.5565608096762285,+,+ 1.56%
2020-06-03,10108.3,10176.2,10035.55,10061.55,794664422,38343.61,Wednesday,June,2020,9979.1,0.8262268140413355,+,+ 0.83%
2020-06-04,10054.25,10123.85,9944.25,10029.1,775106567,36399.04,Thursday,June,2020,10061.55,-0.32251492066330645,-,- 0.32%
2020-06-05,10093.8,10177.8,10040.75,10142.15,987122302,37824.63,Friday,June,2020,10029.1,1.1272197904098997,+,+ 1.13%
2020-06-08,10326.75,10328.5,10120.25,10167.45,936485541,37819.06,Monday,June,2020,10142.15,0.2494540112303712,+,+ 0.25%
2020-06-09,10181.15,10291.15,10021.45,10046.65,754217460,36201.05,Tuesday,June,2020,10167.45,-1.1881051787813175,-,- 1.19%
2020-06-10,10072.6,10148.75,10036.85,10116.15,632383068,28485.47,Wednesday,June,2020,10046.65,0.691772879517053,+,+ 0.69%
2020-06-11,10094.1,10112.05,9885.05,9902.0,715453486,30813.85,Thursday,June,2020,10116.15,-2.116912066349349,-,- 2.12%
2020-06-12,9544.95,9996.05,9544.35,9972.9,796306399,36505.77,Friday,June,2020,9902.0,0.7160169662694368,+,+ 0.72%
2020-06-15,9919.35,9943.35,9726.35,9813.7,716053036,31926.65,Monday,June,2020,9972.9,-1.596326043578086,-,- 1.60%
2020-06-16,10014.8,10046.15,9728.5,9914.0,899895044,36257.89,Tuesday,June,2020,9813.7,1.0220406166889069,+,+ 1.02%
2020-06-17,9876.7,10003.6,9833.8,9881.15,685418390,30700.69,Wednesday,June,2020,9914.0,-0.33134960661690904,-,- 0.33%
